Name,Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Relative Velocity km per sec,Orbit Uncertainity,Minimum Orbit Intersection,Orbital Period,Hazardous
3703080,21.6,0.1272198785,0.2844722965,6.1158343887,5,.0252819,609.599786407648,True
3723955,21.3,0.1460679643,0.3266178974,18.1139850263,3,.186935,425.8692942066788,False
2446862,20.3,0.2315021222,0.5176544822,7.5907111617,0,.0430579,643.580228077368,True
3092506,27.4,0.0088014652,0.0196806745,11.1738744976,6,.0055118,514.0821403654488,False
3514799,21.6,0.1272198785,0.2844722965,9.8408310539,1,.034798,495.597820944911,True
3671135,19.6,0.3195618867,0.7145621017,10.8088439585,1,.272213,556.1605558442809,False
2495323,19.6,0.3195618867,0.7145621017,10.8088415879,1,.272213,556.1605444942963,False
2153315,19.2,0.3841978911,0.8590926012,24.4218839949,0,.0987582,502.8087578997973,False
2162463,17.8,0.7320739893,1.6369672047,17.373783837,0,.109354,447.8370128477652,False
2306383,21.5,0.1332155667,0.2978790628,12.8996097219,0,.0169065,299.5351607368495,True
3444370,22.4,0.0880146521,0.1968067451,22.4213663146,6,.000317965,268.18616502096,False
3448992,25.8,0.0183888672,0.0411187571,17.2746114639,4,.00186378,504.8303955012963,False
3611400,25.0,0.02658,0.0594346868,12.1185099534,6,.0187898,327.7076361182716,False
2162854,19.1,0.4023045798,0.8995803882,10.8299262895,0,.214004,555.777121989752,False
3446396,18.8,0.4619074603,1.0328564805,39.6053279147,0,.102643,1019.756809422007,False
3764806,25.2,0.0242412481,0.0542050786,25.2112885836,6,.0119773,279.9754763169043,False
3314405,20.0,0.2658,0.5943468684,3.0890039286,0,.240288,1000.849506520639,False
3426410,21.0,0.1677084622,0.3750075218,20.0192419349,1,.0984179,315.9585012447702,False
3666785,22.3,0.0921626549,0.2060819612,8.5263208443,3,.0259126,460.1894557939667,False
3702321,22.7,0.0766575574,0.1714115092,7.9195240447,4,.0525422,319.0255591799234,False
3719196,26.1,0.0160160338,0.0358129403,4.6554785934,5,.018587,332.4246440437997,False
3447920,20.6,0.2016299194,0.4508582062,2.1643728488,2,.183818,1016.466480875606,False
3005973,21.7,0.1214940408,0.2716689341,28.4189542612,1,.0128745,315.3683407722336,True
3660308,23.9,0.04411182,0.0986370281,10.551519772,3,.0109543,577.9754044222896,False
3348144,23.9,0.04411182,0.0986370281,17.5649076525,1,.0453154,333.0550192934602,False
3646046,21.3,0.1460679643,0.3266178974,19.223165458,4,.0140066,470.5679773704998,True
3780693,26.989,0.0106354281,0.0237815402,7.1641480595,7,.0071428,384.2473032363464,False
2162173,19.3,0.3669061375,0.8204270649,13.5763026447,0,.00132059,473.8907826636587,True
3092312,22.6,0.0802703167,0.1794898848,11.4702980441,0,.0341962,501.2634017981307,False
3273782,23.8,0.046190746,0.1032856481,11.9306425303,0,.052677,243.4240059087946,False
3600106,28.6,0.0050647146,0.0113250461,9.8741431619,6,.00220111,465.9228968858448,False
3684008,21.2,0.1529519353,0.3420109247,15.938707162,6,.0667857,632.7522951838971,False
3751815,22.8,0.0732073989,0.1636967205,11.7404134833,6,.0452308,294.0289970235248,False
2483656,23.8,0.046190746,0.1032856481,11.9306119236,0,.0515902,243.4139883487221,False
